"","age","accuracy_trajectory_adultzscale","accuracy_trajectory_minmaxscale","latency_trajectory_adultzscale","latency_trajectory_minmaxscale"
"122",20.2,0.0150002597815324,0.997247948882573,-0.0463093311326689,0.015885219358037
"123",20.3,0.0163109659792335,0.997745888919875,-0.0442278615264169,0.0167019547663059
"124",20.4,0.0174800518400828,0.99819002709377,-0.0422273005865595,0.0174869429069319
"125",20.5,0.0185114658907034,0.998581863457816,-0.0403139911233704,0.0182376949625319
"126",20.6,0.0194090145169284,0.998922844065985,-0.0384928737613034,0.0189522723110293
"127",20.7,0.0201763779654747,0.999214367051734,-0.0367675144970632,0.0196292757123075
"128",20.8,0.0208171422322893,0.999457794742454,-0.0351403565936152,0.0202677464690262
"129",20.9,0.0213348622212038,0.999654477653578,-0.0336134124361447,0.0208668949533998
"130",21,0.0217330316317766,0.999805743048905,-0.032187666436952,0.0214263348977741
"131",21.1,0.0220150837866258,0.999912895254909,-0.0308629168933618,0.0219461454470554
"132",21.2,0.0221844076873863,0.999977221760429,-0.0296378401761209,0.022426845972209
"133",21.3,0.0222443658701836,1,-0.0285102235671084,0.0228693047084626
"134",21.4,0.0221983161834547,0.999982505627296,-0.0274775290709423,0.0232745175246431
"135",21.5,0.0220496191104783,0.999926015296973,-0.0265364835334491,0.0236437687541377
"136",21.6,0.0218016487176222,0.99983181082393,-0.0256829983097538,0.0239786627158523
"137",21.7,0.0214578048122926,0.999701183802142,-0.0249122547498158,0.0242810901710531
"138",21.8,0.0210215161404571,0.999535436819401,-0.0242188840334791,0.0245531577589669
"139",21.9,0.0204962267451358,0.999335878274886,-0.0235973328756177,0.0247970444999269
"140",22,0.0198854275123124,0.999103834363512,-0.0230416761138625,0.0250150753329529
"141",22.1,0.0191926706834256,0.998840654589264,-0.0225456136548274,0.0252097223140042
"142",22.2,0.018421575021066,0.998547713727649,-0.0221025587635866,0.025383569972599
"143",22.3,0.0175758173043483,0.998226408594775,-0.0217057439044926,0.0255392737815693
"144",22.4,0.0166590980831557,0.997878145037315,-0.0213483626534665,0.025679504472946
"145",22.5,0.0156751778891611,0.99750435168915,-0.0210235934625997,0.0258069387131094
"146",22.6,0.014627887661357,0.997106483932048,-0.0207246582297255,0.0259242361210245
"147",22.7,0.0135211254132304,0.996686022629521,-0.020444895899437,0.0260340103883787
"148",22.8,0.0123588419249172,0.996244468691239,-0.0201777896032286,0.0261388186302237
"149",22.9,0.011145006235494,0.995783329963483,-0.0199169051068987,0.0262411855372307
"150",23,0.00988362510477825,0.995304128622723,-0.0196560743958819,0.0263435313397404
"151",23.1,0.0085787423962883,0.994808400941203,-0.0193894898068751,0.0264481348720171
"152",23.2,0.0072344277259739,0.99429769297457,-0.0191117501831211,0.0265571154616533
"153",23.3,0.00585476386616175,0.993773555776604,-0.0188178205220167,0.026672448763203
"154",23.4,0.00444383314718452,0.993237540233174,-0.0185028248837335,0.0267960480175296
"155",23.5,0.00300570196939386,0.992691191178313,-0.0181623131654485,0.026929659373861
"156",23.6,0.00154440457710735,0.992136041229911,-0.0177923610124264,0.0270748226862778
"157",23.7,6.39261134855062e-05,0.991573604352224,-0.0173895829719445,0.0272328663523235
"158",23.8,-0.00143180087447786,0.991005374528114,-0.0169510479580924,0.0274049404832658
"159",23.9,-0.00293887217486892,0.990432834975886,-0.0164740060835026,0.0275921240909602
"160",24,-0.00445347282824817,0.989857435006645,-0.0159561560002553,0.0277953201875512
"161",24.1,-0.00597190993722287,0.989280577559866,-0.0153957240975739,0.0280152247095622
"162",24.2,-0.00749063132650817,0.9887036121144,-0.0147914469815957,0.0282523333925541
"163",24.3,-0.00900624400964241,0.98812782767293,-0.0141425487198569,0.028506950700025
"164",24.4,-0.0105155322798903,0.987554445889198,-0.0134487132722198,0.0287792006410739
"165",24.5,-0.0120154399502409,0.986984627815068,-0.0127099871141641,0.0290690649794656
"166",24.6,-0.0135029812714586,0.986419507742947,-0.0119265470982809,0.0293764743210696
"167",24.7,-0.0149753627109841,0.985860146941719,-0.0110988577990613,0.0297012463742802
"168",24.8,-0.0164300330691161,0.985307514617511,-0.0102276951843124,0.0300430766617312
"169",24.9,-0.0178646970670275,0.984762482751568,-0.00931410264104839,0.0304015557750331
"170",25,-0.0192772810379186,0.984225839134264,-0.00835931617728547,0.0307761987243939
"171",25.1,-0.0206658040715685,0.983698336317551,-0.00736463016283571,0.0311664976197853
"172",25.2,-0.0220285266094776,0.983180635163358,-0.00633143793260589,0.0315719057388578
"173",25.3,-0.0233640042560955,0.982673284400586,-0.00526121408459809,0.0319918444729216
"174",25.4,-0.0246710932215417,0.982176718557415,-0.00415546825079311,0.0324257214665139
"175",25.5,-0.0259489028354746,0.981691276001378,-0.0030157090295451,0.0328729447697504
"176",25.6,-0.0271966440772034,0.981217256483091,-0.00184342752037982,0.0333329292990072
"177",25.7,-0.0284137820363707,0.980754863216124,-0.000640029468097597,0.0338051234624908
"178",25.8,-0.029600084313676,0.980304184489458,0.000593212052837128,0.0342890277261272
"179",25.9,-0.0307556163417311,0.979865195445107,0.00185519192792928,0.0347842084606499
"180",26,-0.0318806875276783,0.979437778538649,0.00314496674553237,0.0352902954864061
"181",26.1,-0.0329757011468783,0.979021780564925,0.00446166859312941,0.0358069482483948
"182",26.2,-0.0340412848422349,0.97861696308108,0.00580464333254035,0.0363339100732483
"183",26.3,-0.035078324981866,0.978222989354003,0.0071735084261086,0.0368710308593038
